BLOCK,EVENT,TIME,CHAN,Sampling_Freq,NumOfPoints,D0,
19JUL_Rec3-190726-164527,LICK,46.78844404,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,46.86217213,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,46.97374725,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,47.05566716,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,47.1387341,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,47.2499814,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,47.36630774,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,47.47476983,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,47.53440762,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,47.6733439,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,47.76345611,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,47.89944315,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,48.02019334,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,48.08179712,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,48.16568327,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,48.2680831,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,48.39194632,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,48.51318789,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,48.63950849,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,48.78909445,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,48.89608192,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,49.02338552,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,49.14937854,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,49.27750134,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,49.42544889,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,49.54292226,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,49.6749773,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,49.80801535,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,49.86863613,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,49.95170307,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,50.0670464,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,50.21073413,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,50.34196997,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,50.46927357,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,50.63032842,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,50.76336646,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,50.89968133,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,51.03042555,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,51.18492675,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,51.31255817,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,51.44756222,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,51.58780932,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,51.73936129,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,52.64703488,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,52.70831108,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,52.76614666,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,52.82873344,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,52.89328647,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,52.96766973,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,53.04500222,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,53.20818686,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,53.3376205,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,53.40315652,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,53.46803713,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,53.60844803,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,53.75688696,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,53.889925,0,0,1,0,
19JUL_Rec3-190726-164527,LICK,54.04049397,0,0,1,0,
